topic,rank,word,weight
0,1,black,0.10612767024315627
0,2,negro,0.09228385658128893
0,3,negroes,0.06505111664244737
0,4,blacks,0.06297109869118009
0,5,white,0.04734203564385976
0,6,nt,0.03752076650189657
0,7,like,0.03183830107294688
0,8,people,0.025266168863883724
0,9,want,0.024603381790202165
0,10,negroid,0.023420051610453387
1,1,jews,0.1508228937232919
1,2,jew,0.12038024396214246
1,3,jewish,0.07253271082999796
1,4,people,0.03251049293451437
1,5,whites,0.030373071430466365
1,6,zionist,0.02933488372854128
1,7,just,0.02787236227410296
1,8,world,0.027442513353014026
1,9,truth,0.02643342767063173
1,10,israel,0.025883071488911603
2,1,whites,0.06747631896972701
2,2,africa,0.0630909636625205
2,3,white,0.056387458109764324
2,4,blacks,0.0411443347259358
2,5,country,0.03665923431726298
2,6,nonwhites,0.034095538749039596
2,7,people,0.03333451368086516
2,8,hate,0.030966402432306046
2,9,south,0.029892251351743292
2,10,countries,0.029591465067176647
3,1,apes,0.0845129391436971
3,2,groid,0.06633109731620912
3,3,monkeys,0.058334549844686764
3,4,monkey,0.047636507954550225
3,5,going,0.04005152993534508
3,6,just,0.035564991143078754
3,7,daughter,0.033026666315761406
3,8,white,0.03238685472213128
3,9,animal,0.032043480968945104
3,10,like,0.03194501909822348
4,1,just,0.0626594755229573
4,2,want,0.05255569989088696
4,3,nt,0.05247834416096857
4,4,welfare,0.04168997356961709
4,5,hopefully,0.039607498052471136
4,6,job,0.035390094279724574
4,7,till,0.0333626606893525
4,8,generations,0.0333626606893525
4,9,hope,0.031884676366942685
4,10,thing,0.031884676366942685
5,1,school,0.10944819677396521
5,2,white,0.09344207343903801
5,3,asian,0.07417439770063576
5,4,race,0.06544813575604938
5,5,kids,0.05225642728037067
5,6,fight,0.04403176072129806
5,7,mixing,0.04008670954879049
5,8,like,0.03910127702415547
5,9,asians,0.03906254315939351
5,10,half,0.037844401179476454
6,1,sweden,0.08741599554963585
6,2,muslim,0.06614766434330593
6,3,scum,0.04482124558829324
6,4,ing,0.04449531492835693
6,5,europe,0.04227270848291818
6,6,islam,0.03798149606702281
6,7,just,0.03703894131077319
6,8,muslims,0.03381816678633454
6,9,like,0.03226079387783645
6,10,filth,0.030217210623864652
7,1,london,0.08124516479453915
7,2,canada,0.07626945458521898
7,3,white,0.05614661597062662
7,4,whites,0.040166807331968944
7,5,city,0.03813472729260949
7,6,left,0.03622913160349526
7,7,living,0.03362861705021671
7,8,just,0.03350886320810153
7,9,live,0.03324984030427913
7,10,like,0.03283437112747868
